1670745600;11.12.2022;14:00:00;22.3;38.04;712.46;22.41
1670749200;11.12.2022;15:00:00;22.32;37.06;712.18;22.4
1670752800;11.12.2022;16:00:00;22.2;36.58;712.25;22.28
1670756400;11.12.2022;17:00:00;21.95;36.5;712.26;22.02
1670760000;11.12.2022;18:00:00;21.8;36.36;712.25;21.9
1670763600;11.12.2022;19:00:00;21.56;36.96;712.18;21.64
1670767200;11.12.2022;20:00:00;21.64;41.54;712.14;21.74
1670770800;11.12.2022;21:00:00;21.53;44.5;711.87;21.62
1670774400;11.12.2022;22:00:00;21.22;42.28;711.59;21.33
1670778000;11.12.2022;23:00:00;21.35;42.75;711.47;21.47
1670781600;12.12.2022;00:00:00;21.12;44.12;711.02;21.25
1670785200;12.12.2022;01:00:00;21.05;41.61;710.75;21.15
1670788800;12.12.2022;02:00:00;20.77;40.25;710.6;20.89
1670792400;12.12.2022;03:00:00;20.95;40.29;;20.93
1670796000;12.12.2022;04:00:00;20.79;39.12;709.84;20.75
1670799600;12.12.2022;05:00:00;20.15;38.25;709.79;20.15
1670803200;12.12.2022;06:00:00;19.78;37.95;709.62;19.8
1670806800;12.12.2022;07:00:00;19.58;37.52;709.71;19.61
1670810400;12.12.2022;08:00:00;19.42;37.47;709.7;19.44
1670814000;12.12.2022;09:00:00;19.58;37.99;709.87;19.59
1670817600;12.12.2022;10:00:00;19.74;37.52;709.94;19.76
1670821200;12.12.2022;11:00:00;19.93;36.47;709.76;19.95
1670824800;12.12.2022;12:00:00;20.21;36.91;709.52;20.24
1670828400;12.12.2022;13:00:00;20.63;39.62;709.34;20.66
1670832000;12.12.2022;14:00:00;-7.51;58.52;708.73;-7.25
1670835600;12.12.2022;15:00:00;-7.98;61.21;708.44;-7.69
1670839200;12.12.2022;16:00:00;-8.61;63.83;708.35;-8.32
1670842800;12.12.2022;17:00:00;-9.76;68.89;708.28;-9.46
1670846400;12.12.2022;18:00:00;-10.53;72.48;708.44;-10.24
1670850000;12.12.2022;19:00:00;-11.47;75.71;708.48;-11.16
1670853600;12.12.2022;20:00:00;-12.27;78.08;708.22;-11.95
1670857200;12.12.2022;21:00:00;-12.59;78.8;708.02;-12.28
1670860800;12.12.2022;22:00:00;-12.94;78.82;708.05;-12.61
1670864400;12.12.2022;23:00:00;-13.15;80.03;707.87;-12.83
1670868000;13.12.2022;00:00:00;-13.14;82.17;707.6;-12.81
1670871600;13.12.2022;01:00:00;-13.26;81.56;707.54;-12.93
1670875200;13.12.2022;02:00:00;-13.54;81.55;707.18;-13.2
1670878800;13.12.2022;03:00:00;-13.56;82;707.31;-13.21
1670882400;13.12.2022;04:00:00;-13.93;79.95;707.26;-13.59
1670886000;13.12.2022;05:00:00;-14.16;79.52;707.25;-13.83
1670889600;13.12.2022;06:00:00;-14.33;79.19;707.31;-14.01
1670893200;13.12.2022;07:00:00;-14.19;82.03;707.34;-13.85
1670896800;13.12.2022;08:00:00;-14.05;79.42;707.56;-13.71
